Date,ES,NQ,ZN
24-08-10,0,0,0
25-08-10,0,0,0
27-08-10,0,0,0
02-09-10,0,0,0
03-09-10,0,0,0
07-09-10,0,0,0
08-09-10,0,0,0
09-09-10,0,0,0
10-09-10,0,0,0
21-09-10,0,0,0
27-09-10,0,0,0
28-09-10,0,0,0
08-10-10,0,0,0
11-10-10,0,0,0
12-10-10,0,0,0
13-10-10,0,0,0
18-10-10,0,0,0
20-10-10,0,0,0
21-10-10,0,0,0
22-10-10,0,0,0
25-10-10,0,0,0
26-10-10,0,0,0
27-10-10,0,0,0
02-11-10,0,0,0
03-11-10,0,0,0
04-11-10,0,0,0
05-11-10,0,0,0
08-11-10,0,0,0
09-11-10,0,0,0
10-11-10,0,0,0
11-11-10,0,0,0
12-11-10,0,0,0
17-11-10,0,0,0
22-11-10,0,0,0
24-11-10,0,0,0
26-11-10,0,0,0
01-12-10,0,0,0
02-12-10,0,0,0
03-12-10,0,0,0
07-12-10,0,0,0
08-12-10,0,0,0
09-12-10,0,0,0
10-12-10,0,0,0
15-12-10,0,0,0
20-12-10,0,0,0
22-12-10,0,0,0
23-12-10,0,0,0
29-12-10,0,0,0
05-01-11,0,0,0
06-01-11,0,0,0
07-01-11,0,0,0
10-01-11,0,0,0
11-01-11,0,0,0
12-01-11,0,0,0
13-01-11,0,0,0
14-01-11,0,0,0
20-01-11,0,0,0
24-01-11,0,0,0
25-01-11,0,0,0
26-01-11,0,0,0
01-02-11,0,0,0
09-02-11,0,0,0
10-02-11,0,0,0
11-02-11,0,0,0
16-02-11,0,0,0
23-02-11,0,0,0
24-02-11,0,0,0
02-03-11,0,0,0
03-03-11,0,0,0
04-03-11,0,0,0
07-03-11,0,0,0
08-03-11,0,0,0
09-03-11,0,0,0
10-03-11,0,0,0
11-03-11,0,0,0
16-03-11,0,0,0
22-03-11,0,0,0
23-03-11,0,0,0
24-03-11,0,0,0
25-03-11,0,0,0
28-03-11,0,0,0
29-03-11,0,0,0
01-04-11,0,0,0
06-04-11,0,0,0
07-04-11,0,0,0
08-04-11,0,0,0
11-04-11,0,0,0
12-04-11,0,0,0
13-04-11,0,0,0
21-04-11,0,0,0
26-04-11,0,0,0
27-04-11,0,0,0
04-05-11,0,0,0
05-05-11,0,0,0
06-05-11,0,0,0
09-05-11,0,0,0
10-05-11,0,0,0
11-05-11,0,0,0
12-05-11,0,0,0
13-05-11,0,0,0
16-05-11,0,0,0
18-05-11,0,0,0
23-05-11,0,0,0
24-05-11,0,0,0
25-05-11,0,0,0
27-05-11,0,0,0
01-06-11,0,0,0
03-06-11,0,0,0
07-06-11,0,0,0
08-06-11,0,0,0
09-06-11,0,0,0
10-06-11,0,0,0
15-06-11,0,0,0
21-06-11,0,0,0
23-06-11,0,0,0
27-06-11,0,0,0
28-06-11,0,0,0
05-07-11,0,0,0
06-07-11,0,0,0
07-07-11,0,0,0
08-07-11,0,0,0
11-07-11,0,0,0
12-07-11,0,0,0
13-07-11,0,0,0
14-07-11,0,0,0
20-07-11,0,0,0
21-07-11,0,0,0
22-07-11,0,0,0
25-07-11,0,0,0
26-07-11,0,0,0
27-07-11,0,0,0
02-08-11,0,0,0
03-08-11,0,0,0
04-08-11,0,0,0
05-08-11,0,0,0
09-08-11,0,0,0
10-08-11,0,0,0
11-08-11,0,0,0
15-08-11,0,0,0
17-08-11,0,0,0
18-08-11,0,0,0
22-08-11,0,0,0
24-08-11,0,0,0
26-08-11,0,0,0
02-09-11,0,0,0
06-09-11,0,0,0
07-09-11,0,0,0
08-09-11,0,0,0
09-09-11,0,0,0
13-09-11,0,0,0
14-09-11,0,0,0
21-09-11,0,0,0
22-09-11,0,0,0
23-09-11,0,0,0
26-09-11,0,0,0
27-09-11,0,0,0
28-09-11,0,0,0
11-10-11,0,0,0
12-10-11,0,0,0
13-10-11,0,0,0
17-10-11,0,0,0
20-10-11,0,0,0
24-10-11,0,0,0
25-10-11,0,0,0
26-10-11,0,0,0
02-11-11,0,0,0
03-11-11,0,0,0
04-11-11,0,0,0
07-11-11,0,0,0
08-11-11,0,0,0
09-11-11,0,0,0
10-11-11,0,0,0
11-11-11,0,0,0
14-11-11,0,0,0
16-11-11,0,0,0
22-11-11,0,0,0
25-11-11,0,0,0
28-11-11,0,0,0
01-12-11,0,0,0
02-12-11,0,0,0
06-12-11,0,0,0
07-12-11,0,0,0
08-12-11,0,0,0
09-12-11,0,0,0
12-12-11,0,0,0
13-12-11,0,0,0
21-12-11,0,0,0
22-12-11,0,0,0
23-12-11,0,0,0
28-12-11,0,0,0
04-01-12,0,0,0
05-01-12,0,0,0
06-01-12,0,0,0
09-01-12,0,0,0
10-01-12,0,0,0
11-01-12,0,0,0
12-01-12,0,0,0
13-01-12,0,0,0
18-01-12,0,0,0
01-02-12,0,0,0
02-02-12,0,0,0
03-02-12,0,0,0
07-02-12,0,0,0
08-02-12,0,0,0
09-02-12,0,0,0
10-02-12,0,0,0
13-02-12,0,0,0
15-02-12,0,0,0
16-02-12,0,0,0
22-02-12,0,0,0
24-02-12,0,0,0
27-02-12,0,0,0
02-03-12,0,0,0
05-03-12,0,0,0
06-03-12,0,0,0
07-03-12,0,0,0
08-03-12,0,0,0
09-03-12,0,0,0
12-03-12,0,0,0
13-03-12,0,0,0
14-03-12,0,0,0
21-03-12,0,0,0
22-03-12,0,0,0
23-03-12,0,0,0
26-03-12,0,0,0
27-03-12,0,0,0
28-03-12,0,0,0
05-04-12,0,0,0
10-04-12,0,0,0
11-04-12,0,0,0
12-04-12,0,0,0
13-04-12,0,0,0
18-04-12,0,0,0
23-04-12,0,0,0
25-04-12,0,0,0
27-04-12,0,0,0
02-05-12,0,0,0
03-05-12,0,0,0
04-05-12,0,0,0
08-05-12,0,0,0
09-05-12,0,0,0
10-05-12,0,0,0
11-05-12,0,0,0
14-05-12,0,0,0
16-05-12,0,0,0
22-05-12,0,0,0
23-05-12,0,0,0
24-05-12,0,0,0
29-05-12,0,0,0
01-06-12,0,0,0
06-06-12,0,0,0
07-06-12,0,0,0
08-06-12,0,0,0
11-06-12,0,0,0
12-06-12,0,0,0
13-06-12,0,0,0
20-06-12,0,0,0
26-06-12,0,0,0
27-06-12,0,0,0
03-07-12,0,0,0
05-07-12,0,0,0
06-07-12,0,0,0
09-07-12,0,0,0
10-07-12,0,0,0
11-07-12,0,0,0
12-07-12,0,0,0
13-07-12,0,0,0
18-07-12,0,0,0
23-07-12,0,0,0
24-07-12,0,0,0
25-07-12,0,0,0
26-07-12,0,0,0
27-07-12,0,0,0
02-08-12,0,0,0
03-08-12,0,0,0
07-08-12,0,0,0
08-08-12,0,0,0
