Date,ES,NQ,ZN
20-08-10,5351.25,3651,125531.25
23-08-10,5327.5,3619,125656.25
24-08-10,5248.75,3547.5,126406.25
25-08-10,5272.5,3579.5,125921.875
26-08-10,5223.75,3535,126218.75
27-08-10,5318.75,3578.5,125187.5
31-08-10,5241.25,3533,125625
01-09-10,5408.75,3640,124796.875
02-09-10,5447.5,3674.5,124546.875
03-09-10,5517.5,3734,124015.625
07-09-10,5456.25,3715,124843.75
08-09-10,5496.25,3755,124437.5
09-09-10,5512.5,3771.5,123625
10-09-10,5548.75,3784.5,123390.625
13-09-10,5606.25,3838.5,123906.25
14-09-10,5603.75,3850.5,124437.5
15-09-10,5628.75,3884.5,124187.5
16-09-10,5612.5,3905,123906.25
17-09-10,5598.75,3905.5,124140.625
20-09-10,5682.5,3963.5,124406.25
21-09-10,5673.75,3971,125375
27-09-10,5688.75,4014.5,125953.125
28-09-10,5708.75,4017,126437.5
29-09-10,5705,4018,126156.25
30-09-10,5683.75,3991,126046.875
08-10-10,5802.5,4041.5,127312.5
11-10-10,5811.25,4051,127437.5
12-10-10,5822.5,4074,127078.125
13-10-10,5871.25,4112,127218.75
14-10-10,5867.5,4124,126671.875
15-10-10,5875,4190,126234.375
18-10-10,5891.25,4189,126890.625
19-10-10,5818.75,4135,127031.25
20-10-10,5873.75,4167.5,127046.875
21-10-10,5878.75,4160,126640.625
22-10-10,5903.75,4208,126421.875
25-10-10,5913.75,4217,126421.875
26-10-10,5913.75,4232,125718.75
27-10-10,5893.75,4247.5,125218.75
28-10-10,5896.25,4251.5,125859.375
29-10-10,5898.75,4244,126281.25
01-11-10,5915,4258,126312.5
02-11-10,5963.75,4300.5,126531.25
03-11-10,5986.25,4328.5,126578.125
04-11-10,6092.5,4369,127750
05-11-10,6110,4369.5,127421.875
08-11-10,6100,4368,127359.375
09-11-10,6055,4352.5,126531.25
10-11-10,6070,4349,126968.75
11-11-10,6055,4345,126484.375
12-11-10,5977.5,4267.5,125937.5
15-11-10,5978.75,4256,124765.625
16-11-10,5873.75,4181.5,125046.875
17-11-10,5887.5,4194,124875
18-11-10,5988.75,4268.5,124484.375
19-11-10,5991.25,4267,124515.625
22-11-10,5990,4309,125093.75
23-11-10,5891.25,4238,125406.25
24-11-10,5982.5,4316,124281.25
26-11-10,5916.25,4292,124593.75
29-11-10,5932.5,4291,124875
30-11-10,5897.5,4234,124109.375
01-12-10,6022.5,4317,122828.125
02-12-10,6113.75,4374,122437.5
03-12-10,6117.5,4374.5,122625
06-12-10,6110,4381,123328.125
07-12-10,6116.25,4380,121390.625
08-12-10,6143.75,4401,120796.875
09-12-10,6165,4402.5,120765.625
10-12-10,6205,4433,120218.75
13-12-10,6206.25,4423.5,120656.25
