Date,ES,NQ,ZN
20-08-10,0.000659664,0.051974671,0.082293498
23-08-10,0.046197401,0.062422183,0.075590111
24-08-10,0.03289101,0.092201689,0.076087961
25-08-10,0.08568686,0.061614513,0.013582622
26-08-10,0.088379723,0.082121262,0.013236349
27-08-10,0.003659365,0.069145629,0.043530984
31-08-10,0.066106359,0.014265638,0.008252108
01-09-10,0.041758863,0.06655255,0.065833171
02-09-10,0.069655438,0.016895303,0.060535248
03-09-10,0.087887973,0.054527087,0.011412694
07-09-10,0.041234933,0.027856938,0.012889293
08-09-10,0.092105544,0.061185548,0.095778143
09-09-10,0.045835634,0.047546761,0.043833957
10-09-10,0.004779358,0.072715597,0.074290353
13-09-10,0.084719709,0.034223416,0.010872006
14-09-10,0.057810927,0.080872961,0.04006114
15-09-10,0.070085219,0.026933616,0.068994004
16-09-10,0.000789103,0.084349453,0.061061006
17-09-10,0.06125654,0.095765209,0.011624687
20-09-10,0.056729646,0.033481234,0.09626099
21-09-10,0.02632463,0.06358735,0.048987439
27-09-10,0.071271908,0.087570382,0.076233912
28-09-10,0.021661792,0.018400522,0.061230591
29-09-10,0.031475136,0.034387267,0.014611347
30-09-10,0.012928667,0.030445835,0.069776361
08-10-10,0.017451765,0.0036969,0.074067913
11-10-10,0.019424784,0.061998359,0.050042989
12-10-10,0.073339603,0.068691478,0.02525689
13-10-10,0.056461617,0.059930904,0.026221569
14-10-10,0.072452752,0.077041631,0.08786891
15-10-10,0.008858093,0.042114772,0.096746529
18-10-10,0.055388455,0.076882503,0.078654066
19-10-10,0.081778653,0.049906686,0.085890663
20-10-10,0.062916078,0.04764488,0.018796773
21-10-10,0.059920226,0.032726133,0.041349914
22-10-10,0.052384233,0.036367661,0.0801292
25-10-10,0.072510951,0.017096147,0.075650166
26-10-10,0.022887725,0.026611106,0.039599328
27-10-10,0.092405283,0.090076004,0.006178589
28-10-10,0.016765001,0.063970967,0.021970253
29-10-10,0.029668807,0.073065724,0.029044268
01-11-10,0.074258459,0.035979305,0.094189547
02-11-10,0.087309239,0.00985352,0.023949567
03-11-10,0.041855126,0.07392776,0.036033655
04-11-10,0.0667873,0.094671538,0.077567527
05-11-10,0.032700965,0.029146241,0.026198283
08-11-10,0.031950385,0.021315353,0.048402201
09-11-10,0.001568647,0.00060054,0.066929149
10-11-10,0.009334577,0.0938267,0.087540156
11-11-10,0.023493689,0.072055958,0.025274854
12-11-10,0.036166957,0.025421757,0.047376076
15-11-10,0.051264539,0.069537,0.096229744
16-11-10,0.049423301,0.009621779,0.094565579
17-11-10,0.094636476,0.014989421,0.035421298
18-11-10,0.025770768,0.075076623,0.053358012
19-11-10,0.006851445,0.025746649,0.032506318
22-11-10,0.038910981,0.04727797,0.044337174
23-11-10,0.062097156,0.0590098,0.021574538
24-11-10,0.025282751,0.054527245,0.005550494
26-11-10,0.027285658,0.00037552,0.02618348
29-11-10,0.011198702,0.085168957,0.065315427
30-11-10,0.086253147,0.03903642,0.009087161
01-12-10,0.010236998,0.06580825,0.072428986
02-12-10,0.078389263,0.017271321,0.074331542
03-12-10,0.028929764,0.055739769,0.094682626
06-12-10,0.032251425,0.042798739,0.084421396
07-12-10,0.022838384,0.000195063,0.018391345
08-12-10,0.007678974,0.077515612,0.03241211
09-12-10,0.085056465,0.012559089,0.094477702
10-12-10,0.069626653,0.086905384,0.02684
13-12-10,0.065326556,0.030287323,0.055490678
14-12-10,0.020190367,0.087914279,0.069438515
